Type,SKU,Name,Published,Regular price,Sale price,Categories,Images,Short description,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Manage stock?,Stock
variable,TS-126,Sếp Bogo Trưởng Phòng Cảnh Sát,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-trau.webp,"Sếp Bogo Trưởng Phòng Cảnh Sát được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-126-1,Sếp Bogo Trưởng Phòng Cảnh Sát - 30cm,1,310000.0,272000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-trau.webp,,TS-126,Kích thước,30cm,,1,1,50
variation,TS-126-2,Sếp Bogo Trưởng Phòng Cảnh Sát - 50cm,1,380000.0,334000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-trau.webp,,TS-126,Kích thước,50cm,,1,1,50
variation,TS-126-3,Sếp Bogo Trưởng Phòng Cảnh Sát - 70cm,1,450000.0,396000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-trau.webp,,TS-126,Kích thước,70cm,,1,1,50
variable,TS-127,Thỏ Judy Baby Mini,1,,,Gấu bông hoạt hình > Zootopia,hhttp://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-baby.jpg,"Thỏ Judy Baby Mini được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-127-1,Thỏ Judy Baby Mini - 30cm,1,260000.0,228000.0,,hhttp://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-baby.jpg,,TS-127,Kích thước,30cm,,1,1,50
variation,TS-127-2,Thỏ Judy Baby Mini - 50cm,1,330000.0,290000.0,,hhttp://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-baby.jpg,,TS-127,Kích thước,50cm,,1,1,50
variation,TS-127-3,Thỏ Judy Baby Mini - 70cm,1,400000.0,352000.0,,hhttp://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-baby.jpg,,TS-127,Kích thước,70cm,,1,1,50
variable,TS-128,Cáo Nick Baby Dễ Thương,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-baby.jpg,"Cáo Nick Baby Dễ Thương được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-128-1,Cáo Nick Baby Dễ Thương - 30cm,1,260000.0,228000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-baby.jpg,,TS-128,Kích thước,30cm,,1,1,50
variation,TS-128-2,Cáo Nick Baby Dễ Thương - 50cm,1,330000.0,290000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-baby.jpg,,TS-128,Kích thước,50cm,,1,1,50
variation,TS-128-3,Cáo Nick Baby Dễ Thương - 70cm,1,400000.0,352000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-baby.jpg,,TS-128,Kích thước,70cm,,1,1,50
variable,TS-129,Zootopia Set Nhân Vật Tổng Hợp,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-set.webp,"Zootopia Set Nhân Vật Tổng Hợp được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-129-1,Zootopia Set Nhân Vật Tổng Hợp - 30cm,1,130000.0,114000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-set.webp,,TS-129,Kích thước,30cm,,1,1,50
variation,TS-129-2,Zootopia Set Nhân Vật Tổng Hợp - 50cm,1,200000.0,176000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-set.webp,,TS-129,Kích thước,50cm,,1,1,50
variation,TS-129-3,Zootopia Set Nhân Vật Tổng Hợp - 70cm,1,270000.0,237000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-set.webp,,TS-129,Kích thước,70cm,,1,1,50
variable,TS-130,Hộp Mù Blind Box Gấu Dâu Lotso,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-gaulosto.jpg,"Hộp Mù Blind Box Gấu Dâu Lotso được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-130-1,Hộp Mù Blind Box Gấu Dâu Lotso - 1 Hộp,1,240000.0,211000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-gaulosto.jpg,,TS-130,Kích thước,1 Hộp,,1,1,50
variation,TS-130-2,Hộp Mù Blind Box Gấu Dâu Lotso - Nguyên Set (6 Hộp),1,310000.0,272000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-gaulosto.jpg,,TS-130,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-131,Blind Box Baby Three Mẫu Mới,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-baby3.jpg,"Blind Box Baby Three Mẫu Mới được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-131-1,Blind Box Baby Three Mẫu Mới - 1 Hộp,1,370000.0,325000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-baby3.jpg,,TS-131,Kích thước,1 Hộp,,1,1,50
variation,TS-131-2,Blind Box Baby Three Mẫu Mới - Nguyên Set (6 Hộp),1,440000.0,387000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-baby3.jpg,,TS-131,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-132,Blind Box Labubu Macaron Cực Hot,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-labubu.webp,"Blind Box Labubu Macaron Cực Hot được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-132-1,Blind Box Labubu Macaron Cực Hot - 1 Hộp,1,330000.0,290000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-labubu.webp,,TS-132,Kích thước,1 Hộp,,1,1,50
variation,TS-132-2,Blind Box Labubu Macaron Cực Hot - Nguyên Set (6 Hộp),1,400000.0,352000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-labubu.webp,,TS-132,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-133,Blind Box Capybara Đa Vũ Trụ,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-capy.jpg,"Blind Box Capybara Đa Vũ Trụ được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-133-1,Blind Box Capybara Đa Vũ Trụ - 1 Hộp,1,290000.0,255000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-capy.jpg,,TS-133,Kích thước,1 Hộp,,1,1,50
variation,TS-133-2,Blind Box Capybara Đa Vũ Trụ - Nguyên Set (6 Hộp),1,360000.0,316000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-capy.jpg,,TS-133,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-134,Blind Box Zoo Series,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-zoo-scaled.jpg,"Blind Box Zoo Series được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-134-1,Blind Box Zoo Series - 1 Hộp,1,160000.0,140000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-zoo-scaled.jpg,,TS-134,Kích thước,1 Hộp,,1,1,50
variation,TS-134-2,Blind Box Zoo Series - Nguyên Set (6 Hộp),1,230000.0,202000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-zoo-scaled.jpg,,TS-134,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-135,Blind Box Mèo Anime Dễ Thương,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-meo.jpg,"Blind Box Mèo Anime Dễ Thương được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-135-1,Blind Box Mèo Anime Dễ Thương - 1 Hộp,1,290000.0,255000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-meo.jpg,,TS-135,Kích thước,1 Hộp,,1,1,50
variation,TS-135-2,Blind Box Mèo Anime Dễ Thương - Nguyên Set (6 Hộp),1,360000.0,316000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-meo.jpg,,TS-135,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-136,Blind Box Nanci Cổ Trang,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-nanci-scaled.jpg,"Blind Box Nanci Cổ Trang được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-136-1,Blind Box Nanci Cổ Trang - 1 Hộp,1,340000.0,299000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-nanci-scaled.jpg,,TS-136,Kích thước,1 Hộp,,1,1,50
variation,TS-136-2,Blind Box Nanci Cổ Trang - Nguyên Set (6 Hộp),1,410000.0,360000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-nanci-scaled.jpg,,TS-136,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-137,Blind Box Skullpanda Tương Lai,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-Skullpanda.jpg,"Blind Box Skullpanda Tương Lai được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-137-1,Blind Box Skullpanda Tương Lai - 1 Hộp,1,440000.0,387000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-Skullpanda.jpg,,TS-137,Kích thước,1 Hộp,,1,1,50
variation,TS-137-2,Blind Box Skullpanda Tương Lai - Nguyên Set (6 Hộp),1,510000.0,448000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-Skullpanda.jpg,,TS-137,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-138,Blind Box Dimoo Đèn Ngủ,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-dimoo.png,"Blind Box Dimoo Đèn Ngủ được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-138-1,Blind Box Dimoo Đèn Ngủ - 1 Hộp,1,370000.0,325000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-dimoo.png,,TS-138,Kích thước,1 Hộp,,1,1,50
variation,TS-138-2,Blind Box Dimoo Đèn Ngủ - Nguyên Set (6 Hộp),1,440000.0,387000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-dimoo.png,,TS-138,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-139,Blind Box Baby Three Mini,1,,,Gối bông và phụ kiện > Blind Box,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-baby3mini.webp,"Blind Box Baby Three Mini được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"1 Hộp, Nguyên Set (6 Hộp)",1.0,1,1,
variation,TS-139-1,Blind Box Baby Three Mini - 1 Hộp,1,330000.0,290000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-baby3mini.webp,,TS-139,Kích thước,1 Hộp,,1,1,50
variation,TS-139-2,Blind Box Baby Three Mini - Nguyên Set (6 Hộp),1,400000.0,352000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/blindbox-baby3mini.webp,,TS-139,Kích thước,Nguyên Set (6 Hộp),,1,1,50
variable,TS-140,Gối Cổ Chữ U Capybara Kèm Bịt Mắt,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-capy.jpg,"Gối Cổ Chữ U Capybara Kèm Bịt Mắt được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-140-1,Gối Cổ Chữ U Capybara Kèm Bịt Mắt - Free size,1,130000.0,114000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-capy.jpg,,TS-140,Kích thước,Free size,,1,1,50
variable,TS-141,Gối Chữ U Gấu Brown Cao Su Non,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-gaubrown.webp,"Gối Chữ U Gấu Brown Cao Su Non được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-141-1,Gối Chữ U Gấu Brown Cao Su Non - Free size,1,190000.0,167000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-gaubrown.webp,,TS-141,Kích thước,Free size,,1,1,50
variable,TS-142,Gối Cổ Văn Phòng Khủng Long Xanh,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-khunglongxanh.jpg,"Gối Cổ Văn Phòng Khủng Long Xanh được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-142-1,Gối Cổ Văn Phòng Khủng Long Xanh - Free size,1,280000.0,246000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-khunglongxanh.jpg,,TS-142,Kích thước,Free size,,1,1,50
variable,TS-143,Gối Chữ U Thỏ Trắng Siêu Mềm,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-thotrang.jpeg,"Gối Chữ U Thỏ Trắng Siêu Mềm được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-143-1,Gối Chữ U Thỏ Trắng Siêu Mềm - Free size,1,230000.0,202000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-thotrang.jpeg,,TS-143,Kích thước,Free size,,1,1,50
variable,TS-144,Gối Cổ Du Lịch Cừu Xám,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-cuuxam.jpeg,"Gối Cổ Du Lịch Cừu Xám được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-144-1,Gối Cổ Du Lịch Cừu Xám - Free size,1,280000.0,246000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-cuuxam.jpeg,,TS-144,Kích thước,Free size,,1,1,50
variable,TS-145,Gối Chữ U Loopy Dễ Thương,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-loopy.jpg,"Gối Chữ U Loopy Dễ Thương được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-145-1,Gối Chữ U Loopy Dễ Thương - Free size,1,140000.0,123000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-loopy.jpg,,TS-145,Kích thước,Free size,,1,1,50
variable,TS-146,Gối Cổ Massage Đa Năng,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-massage.webp,"Gối Cổ Massage Đa Năng được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-146-1,Gối Cổ Massage Đa Năng - Free size,1,180000.0,158000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-massage.webp,,TS-146,Kích thước,Free size,,1,1,50
variable,TS-147,Gối Chữ U Hình Heo Hồng,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-heohong.jpg,"Gối Chữ U Hình Heo Hồng được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-147-1,Gối Chữ U Hình Heo Hồng - Free size,1,390000.0,343000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-heohong.jpg,,TS-147,Kích thước,Free size,,1,1,50
variable,TS-148,Gối Cổ Mèo Hồng Ngọt Ngào,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-meohong.jpg,"Gối Cổ Mèo Hồng Ngọt Ngào được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-148-1,Gối Cổ Mèo Hồng Ngọt Ngào - Free size,1,340000.0,299000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-meohong.jpg,,TS-148,Kích thước,Free size,,1,1,50
variable,TS-149,Gối Chữ U Mèo Hoàng Thượng,1,,,Gối bông và phụ kiện > Gối cổ chữ U,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-meohoangthuong.jpeg,"Gối Chữ U Mèo Hoàng Thượng được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,Free size,1.0,1,1,
variation,TS-149-1,Gối Chữ U Mèo Hoàng Thượng - Free size,1,320000.0,281000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/goico-meohoangthuong.jpeg,,TS-149,Kích thước,Free size,,1,1,50
variable,TS-150,Balo Capybara,1,,,Gối bông và phụ kiện > Balo gấu bông,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-capy.webp,"Balo Capybara được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"Size S, Size L",1.0,1,1,
variation,TS-150-1,Balo Capybara - Size S,1,390000.0,343000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-capy.webp,,TS-150,Kích thước,Size S,,1,1,50
variation,TS-150-2,Balo Capybara - Size L,1,460000.0,404000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-capy.webp,,TS-150,Kích thước,Size L,,1,1,50
variable,TS-151,Balo Gấu Dâu Lotso Lông Mịn,1,,,Gối bông và phụ kiện > Balo gấu bông,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-gaudau.jpg,"Balo Gấu Dâu Lotso Lông Mịn được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"Size S, Size L",1.0,1,1,
variation,TS-151-1,Balo Gấu Dâu Lotso Lông Mịn - Size S,1,440000.0,387000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-gaudau.jpg,,TS-151,Kích thước,Size S,,1,1,50
variation,TS-151-2,Balo Gấu Dâu Lotso Lông Mịn - Size L,1,510000.0,448000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-gaudau.jpg,,TS-151,Kích thước,Size L,,1,1,50
variable,TS-152,Balo Khủng Long Xanh Cho Bé,1,,,Gối bông và phụ kiện > Balo gấu bông,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-khunglong.jpg,"Balo Khủng Long Xanh Cho Bé được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"Size S, Size L",1.0,1,1,
variation,TS-152-1,Balo Khủng Long Xanh Cho Bé - Size S,1,190000.0,167000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-khunglong.jpg,,TS-152,Kích thước,Size S,,1,1,50
variation,TS-152-2,Balo Khủng Long Xanh Cho Bé - Size L,1,260000.0,228000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-khunglong.jpg,,TS-152,Kích thước,Size L,,1,1,50
variable,TS-153,Balo Thỏ Con Tai Dài Đi Học,1,,,Gối bông và phụ kiện > Balo gấu bông,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-thocon.jpg,"Balo Thỏ Con Tai Dài Đi Học được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"Size S, Size L",1.0,1,1,
variation,TS-153-1,Balo Thỏ Con Tai Dài Đi Học - Size S,1,360000.0,316000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-thocon.jpg,,TS-153,Kích thước,Size S,,1,1,50
variation,TS-153-2,Balo Thỏ Con Tai Dài Đi Học - Size L,1,430000.0,378000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-thocon.jpg,,TS-153,Kích thước,Size L,,1,1,50
variable,TS-154,Balo Kuromi Tím Cá Tính,1,,,Gối bông và phụ kiện > Balo gấu bông,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-kuromi.jpg,"Balo Kuromi Tím Cá Tính được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"Size S, Size L",1.0,1,1,
variation,TS-154-1,Balo Kuromi Tím Cá Tính - Size S,1,240000.0,211000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-kuromi.jpg,,TS-154,Kích thước,Size S,,1,1,50
variation,TS-154-2,Balo Kuromi Tím Cá Tính - Size L,1,310000.0,272000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-kuromi.jpg,,TS-154,Kích thước,Size L,,1,1,50
variable,TS-155,Balo Gấu Trúc Nhỏ Gọn,1,,,Gối bông và phụ kiện > Balo gấu bông,http://localhost/teddy-shop/wp-content/uploads/2026/05/balo-gautruc.webp,"Balo Gấu Trúc Nhỏ Gọn được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"Size S, Size L",1.0,1,1,
variation,TS-155-1,Balo Gấu Trúc Nhỏ Gọn - Size S,1,280000.0,246000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/balo-gautruc.webp,,TS-155,Kích thước,Size S,,1,1,50
variation,TS-155-2,Balo Gấu Trúc Nhỏ Gọn - Size L,1,350000.0,308000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/balo-gautruc.webp,,TS-155,Kích thước,Size L,,1,1,50
variable,TS-156,Balo Corgi Mông Béo,1,,,Gối bông và phụ kiện > Balo gấu bông,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-corgi.jpg,"Balo Corgi Mông Béo được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"Size S, Size L",1.0,1,1,
variation,TS-156-1,Balo Corgi Mông Béo - Size S,1,140000.0,123000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-corgi.jpg,,TS-156,Kích thước,Size S,,1,1,50
variation,TS-156-2,Balo Corgi Mông Béo - Size L,1,210000.0,184000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Balo-corgi.jpg,,TS-156,Kích thước,Size L,,1,1,50
variable,TS-157,Balo Heo Hồng Đáng Yêu,1,,,Gối bông và phụ kiện > Balo gấu bông,http://localhost/teddy-shop/wp-content/uploads/2026/05/balo-heohong.jpg,"Balo Heo Hồng Đáng Yêu được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"Size S, Size L",1.0,1,1,
variation,TS-157-1,Balo Heo Hồng Đáng Yêu - Size S,1,390000.0,343000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/balo-heohong.jpg,,TS-157,Kích thước,Size S,,1,1,50
variation,TS-157-2,Balo Heo Hồng Đáng Yêu - Size L,1,460000.0,404000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/balo-heohong.jpg,,TS-157,Kích thước,Size L,,1,1,50
